NAME;BAK NR;REG NR;BAFIN-ID;LEI;NATIONALE IDENTIFIKATIONSNUMMER DER BEHÖRDE DES HERKUNFTSMITGLIEDSTAATES;PLZ;ORT;STRASSE;LAND;GATTUNG;SCHLICHTUNGSSTELLE;HANDELSNAMEN;ZWEIGNIEDERLASSUNG IN DEUTSCHLAND;KONTAKTDATEN FÜR VERBRAUCHERBESCHWERDEN;GRENZÜBERSCHREITENDE ERBRINGUNG VON KREDITDIENSTLEISTUNGEN IN;ERLAUBNISSE/ZULASSUNG/TÄTIGKEITEN;ERTEILUNGSDATUM;ENDE AM;ENDEGRUND
Yellowfin Asset Management GmbH;118243;---;40002068;5299004U6Y4I7SBDFP86;;60311;Frankfurt;Junghofstraße 13 - 15;Deutschland;Wertpapierinstitut;;;;;;Anlagevermittlung (§ 2 Abs. 2 Nr. 3 WpIG);2023-06-29;2026-01-23;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Anlageberatung (§ 2 Abs. 2 Nr. 4 WpIG);2023-06-29;2026-01-23;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Finanzportfolioverwaltung (§ 2 Abs. 2  Nr. 9 WpIG);2023-06-29;;
YIELCO Investments AG;136062;---;10136062;529900IK3F1LQ3WMX928;;80333;München;Promenadeplatz 12;Deutschland;Wertpapierinstitut;;;;;;Anlagevermittlung (§ 1 Abs. 1a Satz 2 Nr. 1 KWG);2018-07-19;2021-06-25;Inkrafttreten Wertpapierinstitutsgesetz (WpIG)
;;;;;;;;;;;;;;;;Anlageberatung (§ 1 Abs. 1a Satz 2 Nr. 1a KWG);2018-07-19;2021-06-25;Inkrafttreten Wertpapierinstitutsgesetz (WpIG)
;;;;;;;;;;;;;;;;§ 2 Abs. 4 KAGB;2014-05-27;2015-07-30;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Anlagevermittlung (§ 2 Abs. 2 Nr. 3 WpIG);2021-06-26;;
;;;;;;;;;;;;;;;;Anlageberatung (§ 2 Abs. 2 Nr. 4 WpIG);2021-06-26;;
;;;;;;;;;;;;;;;;Eigengeschäft (§ 15 Abs. 3 WpIG);2025-09-04;;
YIELCO Special Situations Europe GmbH & Co. KG;148924;---;10148924;5299000HXD1B6UQIDZ54;;80333;München;Promenadeplatz 12;Deutschland;Registrierte AIF-KVG (§ 44 KAGB);;;;;;§ 2 Abs. 4 KAGB;;;
YIELCO Special Situations GmbH & Co. KG;146767;---;10146767;529900ZXJFOAPDZW2442;;80333;München;Promenadeplatz 12;Deutschland;Registrierte AIF-KVG (§ 44 KAGB);;;;;;§ 2 Abs. 4 KAGB;;;
Yield.Inc B.V.;161394;---;10161394;7245005TZ6RAB052XU77;;2514 AB;Den Haag;Koninginnegracht 19;Niederlande;Grenzüberschreitender Dienstleister (WpI) gem. § 74 WpIG;;;;;;Sonstige nach MiFID;2022-07-19;;
